,0
1029,SWRVBNB
1030,SWRVBUSD
1031,WINGBUSD
1032,WINGUSDT
1033,LTCUPUSDT
1034,LTCDOWNUSDT
1035,LENDBKRW
1036,SXPEUR
1037,CREAMBNB
1038,CREAMBUSD
1039,UNIBNB
1040,UNIBTC
1041,UNIBUSD
1042,UNIUSDT
1043,NBSBTC
1044,NBSUSDT
1045,OXTBTC
1046,OXTUSDT
1047,SUNBTC
1048,SUNUSDT
1049,AVAXBNB
1050,AVAXBTC
1051,AVAXBUSD
1052,AVAXUSDT
1053,HNTBTC
1054,HNTUSDT
1055,BAKEBNB
1056,BURGERBNB
1057,SXPBIDR
1058,LINKBKRW
1059,FLMBNB
1060,FLMBTC
1061,FLMBUSD
1062,FLMUSDT
1063,SCRTBTC
1064,SCRTETH
1065,CAKEBNB
1066,CAKEBUSD
1067,SPARTABNB
1068,UNIUPUSDT
1069,UNIDOWNUSDT
1070,ORNBTC
1071,ORNUSDT
1072,TRXNGN
1073,SXPTRY
1074,UTKBTC
1075,UTKUSDT
1076,XVSBNB
1077,XVSBTC
1078,XVSBUSD
1079,XVSUSDT
1080,ALPHABNB
1081,ALPHABTC
1082,ALPHABUSD
1083,ALPHAUSDT
1084,VIDTBTC
1085,VIDTBUSD
1086,AAVEBNB
1087,BTCBRL
1088,USDTBRL
1089,AAVEBTC
1090,AAVEETH
1091,AAVEBUSD
1092,AAVEUSDT
1093,AAVEBKRW
1094,NEARBNB
1095,NEARBTC
1096,NEARBUSD
1097,NEARUSDT
1098,SXPUPUSDT
1099,SXPDOWNUSDT
1100,DOTBKRW
1101,SXPGBP
1102,FILBNB
1103,FILBTC
1104,FILBUSD
1105,FILUSDT
1106,FILUPUSDT
1107,FILDOWNUSDT
1108,YFIUPUSDT
1109,YFIDOWNUSDT
1110,INJBNB
1111,INJBTC
1112,INJBUSD
1113,INJUSDT
1114,AERGOBTC
1115,AERGOBUSD
1116,LINKEUR
1117,ONEBUSD
1118,EASYETH
1119,AUDIOBTC
1120,AUDIOBUSD
1121,AUDIOUSDT
1122,CTKBNB
1123,CTKBTC
1124,CTKBUSD
1125,CTKUSDT
1126,BCHUPUSDT
1127,BCHDOWNUSDT
1128,BOTBTC
1129,BOTBUSD
1130,ETHBRL
1131,DOTEUR
1132,AKROBTC
